seed,user_id,method,k,precision,recall,ndcg,hitrate,mrr,candidate_size,heldout_count,dimensions,walk_length,num_walks,window,p,q
0,avreylavelle,node2vec,10,0.0,0.0,0.0,0.0,0.0,40,1,64,20,50,10,1.0,1.0
0,avreylavelle,node2vec,50,0.02,1.0,0.27023815442731974,1.0,0.08333333333333333,40,1,64,20,50,10,1.0,1.0
0,avreylavelle,node2vec,100,0.01,1.0,0.27023815442731974,1.0,0.08333333333333333,40,1,64,20,50,10,1.0,1.0
0,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
0,bossitronio,node2vec,50,0.02,1.0,0.1965616322328226,1.0,0.030303030303030304,41,1,64,20,50,10,1.0,1.0
0,bossitronio,node2vec,100,0.01,1.0,0.1965616322328226,1.0,0.030303030303030304,41,1,64,20,50,10,1.0,1.0
0,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
0,chandler,node2vec,50,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
0,chandler,node2vec,100,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
0,isaacmeyer,node2vec,10,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
0,isaacmeyer,node2vec,50,0.02,1.0,0.27894294565112987,1.0,0.09090909090909091,24,1,64,20,50,10,1.0,1.0
0,isaacmeyer,node2vec,100,0.01,1.0,0.27894294565112987,1.0,0.09090909090909091,24,1,64,20,50,10,1.0,1.0
0,jnance142,node2vec,10,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
0,jnance142,node2vec,50,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
0,jnance142,node2vec,100,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
1,avreylavelle,node2vec,10,0.0,0.0,0.0,0.0,0.0,40,1,64,20,50,10,1.0,1.0
1,avreylavelle,node2vec,50,0.02,1.0,0.21810429198553155,1.0,0.043478260869565216,40,1,64,20,50,10,1.0,1.0
1,avreylavelle,node2vec,100,0.01,1.0,0.21810429198553155,1.0,0.043478260869565216,40,1,64,20,50,10,1.0,1.0
1,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
1,bossitronio,node2vec,50,0.02,1.0,0.1905514124267734,1.0,0.02702702702702703,41,1,64,20,50,10,1.0,1.0
1,bossitronio,node2vec,100,0.01,1.0,0.1905514124267734,1.0,0.02702702702702703,41,1,64,20,50,10,1.0,1.0
1,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
1,chandler,node2vec,50,0.02,1.0,0.20801459767650948,1.0,0.037037037037037035,47,1,64,20,50,10,1.0,1.0
1,chandler,node2vec,100,0.01,1.0,0.20801459767650948,1.0,0.037037037037037035,47,1,64,20,50,10,1.0,1.0
1,isaacmeyer,node2vec,10,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
1,isaacmeyer,node2vec,50,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
1,isaacmeyer,node2vec,100,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
1,jnance142,node2vec,10,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
1,jnance142,node2vec,50,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
1,jnance142,node2vec,100,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
2,avreylavelle,node2vec,10,0.0,0.0,0.0,0.0,0.0,40,1,64,20,50,10,1.0,1.0
2,avreylavelle,node2vec,50,0.02,1.0,0.20584683246043448,1.0,0.03571428571428571,40,1,64,20,50,10,1.0,1.0
2,avreylavelle,node2vec,100,0.01,1.0,0.20584683246043448,1.0,0.03571428571428571,40,1,64,20,50,10,1.0,1.0
2,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
2,bossitronio,node2vec,50,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
2,bossitronio,node2vec,100,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
2,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
2,chandler,node2vec,50,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
2,chandler,node2vec,100,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
2,isaacmeyer,node2vec,10,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
2,isaacmeyer,node2vec,50,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
2,isaacmeyer,node2vec,100,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
2,jnance142,node2vec,10,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
2,jnance142,node2vec,50,0.02,1.0,0.2037950470905062,1.0,0.034482758620689655,56,1,64,20,50,10,1.0,1.0
2,jnance142,node2vec,100,0.01,1.0,0.2037950470905062,1.0,0.034482758620689655,56,1,64,20,50,10,1.0,1.0
3,avreylavelle,node2vec,10,0.0,0.0,0.0,0.0,0.0,40,1,64,20,50,10,1.0,1.0
3,avreylavelle,node2vec,50,0.02,1.0,0.19195872000656014,1.0,0.027777777777777776,40,1,64,20,50,10,1.0,1.0
3,avreylavelle,node2vec,100,0.01,1.0,0.19195872000656014,1.0,0.027777777777777776,40,1,64,20,50,10,1.0,1.0
3,bossitronio,node2vec,10,0.1,1.0,1.0,1.0,1.0,41,1,64,20,50,10,1.0,1.0
3,bossitronio,node2vec,50,0.02,1.0,1.0,1.0,1.0,41,1,64,20,50,10,1.0,1.0
3,bossitronio,node2vec,100,0.01,1.0,1.0,1.0,1.0,41,1,64,20,50,10,1.0,1.0
3,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
3,chandler,node2vec,50,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
3,chandler,node2vec,100,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
3,isaacmeyer,node2vec,10,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
3,isaacmeyer,node2vec,50,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
3,isaacmeyer,node2vec,100,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
3,jnance142,node2vec,10,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
3,jnance142,node2vec,50,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
3,jnance142,node2vec,100,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
4,avreylavelle,node2vec,10,0.1,1.0,0.38685280723454163,1.0,0.2,40,1,64,20,50,10,1.0,1.0
4,avreylavelle,node2vec,50,0.02,1.0,0.38685280723454163,1.0,0.2,40,1,64,20,50,10,1.0,1.0
4,avreylavelle,node2vec,100,0.01,1.0,0.38685280723454163,1.0,0.2,40,1,64,20,50,10,1.0,1.0
4,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
4,bossitronio,node2vec,50,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
4,bossitronio,node2vec,100,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
4,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
4,chandler,node2vec,50,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
4,chandler,node2vec,100,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
4,isaacmeyer,node2vec,10,0.1,1.0,0.3562071871080222,1.0,0.16666666666666666,24,1,64,20,50,10,1.0,1.0
4,isaacmeyer,node2vec,50,0.02,1.0,0.3562071871080222,1.0,0.16666666666666666,24,1,64,20,50,10,1.0,1.0
4,isaacmeyer,node2vec,100,0.01,1.0,0.3562071871080222,1.0,0.16666666666666666,24,1,64,20,50,10,1.0,1.0
4,jnance142,node2vec,10,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
4,jnance142,node2vec,50,0.02,1.0,0.22424382421757544,1.0,0.047619047619047616,56,1,64,20,50,10,1.0,1.0
4,jnance142,node2vec,100,0.01,1.0,0.22424382421757544,1.0,0.047619047619047616,56,1,64,20,50,10,1.0,1.0
5,avreylavelle,node2vec,10,0.0,0.0,0.0,0.0,0.0,40,1,64,20,50,10,1.0,1.0
5,avreylavelle,node2vec,50,0.02,1.0,0.21274605355336318,1.0,0.04,40,1,64,20,50,10,1.0,1.0
5,avreylavelle,node2vec,100,0.01,1.0,0.21274605355336318,1.0,0.04,40,1,64,20,50,10,1.0,1.0
5,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
5,bossitronio,node2vec,50,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
5,bossitronio,node2vec,100,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
5,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
5,chandler,node2vec,50,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
5,chandler,node2vec,100,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
5,isaacmeyer,node2vec,10,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
5,isaacmeyer,node2vec,50,0.02,1.0,0.27023815442731974,1.0,0.08333333333333333,24,1,64,20,50,10,1.0,1.0
5,isaacmeyer,node2vec,100,0.01,1.0,0.27023815442731974,1.0,0.08333333333333333,24,1,64,20,50,10,1.0,1.0
5,jnance142,node2vec,10,0.1,1.0,0.43067655807339306,1.0,0.25,56,1,64,20,50,10,1.0,1.0
5,jnance142,node2vec,50,0.02,1.0,0.43067655807339306,1.0,0.25,56,1,64,20,50,10,1.0,1.0
5,jnance142,node2vec,100,0.01,1.0,0.43067655807339306,1.0,0.25,56,1,64,20,50,10,1.0,1.0
6,avreylavelle,node2vec,10,0.0,0.0,0.0,0.0,0.0,40,1,64,20,50,10,1.0,1.0
6,avreylavelle,node2vec,50,0.02,1.0,0.21810429198553155,1.0,0.043478260869565216,40,1,64,20,50,10,1.0,1.0
6,avreylavelle,node2vec,100,0.01,1.0,0.21810429198553155,1.0,0.043478260869565216,40,1,64,20,50,10,1.0,1.0
6,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
6,bossitronio,node2vec,50,0.02,1.0,0.27894294565112987,1.0,0.09090909090909091,41,1,64,20,50,10,1.0,1.0
6,bossitronio,node2vec,100,0.01,1.0,0.27894294565112987,1.0,0.09090909090909091,41,1,64,20,50,10,1.0,1.0
6,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
6,chandler,node2vec,50,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
6,chandler,node2vec,100,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
6,isaacmeyer,node2vec,10,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
6,isaacmeyer,node2vec,50,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
6,isaacmeyer,node2vec,100,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
6,jnance142,node2vec,10,0.1,1.0,0.3333333333333333,1.0,0.14285714285714285,56,1,64,20,50,10,1.0,1.0
6,jnance142,node2vec,50,0.02,1.0,0.3333333333333333,1.0,0.14285714285714285,56,1,64,20,50,10,1.0,1.0
6,jnance142,node2vec,100,0.01,1.0,0.3333333333333333,1.0,0.14285714285714285,56,1,64,20,50,10,1.0,1.0
7,avreylavelle,node2vec,10,0.0,0.0,0.0,0.0,0.0,40,1,64,20,50,10,1.0,1.0
7,avreylavelle,node2vec,50,0.02,1.0,0.23137821315975915,1.0,0.05263157894736842,40,1,64,20,50,10,1.0,1.0
7,avreylavelle,node2vec,100,0.01,1.0,0.23137821315975915,1.0,0.05263157894736842,40,1,64,20,50,10,1.0,1.0
7,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
7,bossitronio,node2vec,50,0.02,1.0,0.227670248696953,1.0,0.05,41,1,64,20,50,10,1.0,1.0
7,bossitronio,node2vec,100,0.01,1.0,0.227670248696953,1.0,0.05,41,1,64,20,50,10,1.0,1.0
7,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
7,chandler,node2vec,50,0.02,1.0,0.27023815442731974,1.0,0.08333333333333333,47,1,64,20,50,10,1.0,1.0
7,chandler,node2vec,100,0.01,1.0,0.27023815442731974,1.0,0.08333333333333333,47,1,64,20,50,10,1.0,1.0
7,isaacmeyer,node2vec,10,0.1,1.0,0.2890648263178879,1.0,0.1,24,1,64,20,50,10,1.0,1.0
7,isaacmeyer,node2vec,50,0.02,1.0,0.2890648263178879,1.0,0.1,24,1,64,20,50,10,1.0,1.0
7,isaacmeyer,node2vec,100,0.01,1.0,0.2890648263178879,1.0,0.1,24,1,64,20,50,10,1.0,1.0
7,jnance142,node2vec,10,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
7,jnance142,node2vec,50,0.02,1.0,0.19342640361727081,1.0,0.02857142857142857,56,1,64,20,50,10,1.0,1.0
7,jnance142,node2vec,100,0.01,1.0,0.19342640361727081,1.0,0.02857142857142857,56,1,64,20,50,10,1.0,1.0
8,avreylavelle,node2vec,10,0.1,1.0,1.0,1.0,1.0,40,1,64,20,50,10,1.0,1.0
8,avreylavelle,node2vec,50,0.02,1.0,1.0,1.0,1.0,40,1,64,20,50,10,1.0,1.0
8,avreylavelle,node2vec,100,0.01,1.0,1.0,1.0,1.0,40,1,64,20,50,10,1.0,1.0
8,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
8,bossitronio,node2vec,50,0.02,1.0,0.19823986317056053,1.0,0.03125,41,1,64,20,50,10,1.0,1.0
8,bossitronio,node2vec,100,0.01,1.0,0.19823986317056053,1.0,0.03125,41,1,64,20,50,10,1.0,1.0
8,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
8,chandler,node2vec,50,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
8,chandler,node2vec,100,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
8,isaacmeyer,node2vec,10,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
8,isaacmeyer,node2vec,50,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
8,isaacmeyer,node2vec,100,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
8,jnance142,node2vec,10,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
8,jnance142,node2vec,50,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
8,jnance142,node2vec,100,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
9,avreylavelle,node2vec,10,0.0,0.0,0.0,0.0,0.0,40,1,64,20,50,10,1.0,1.0
9,avreylavelle,node2vec,50,0.02,1.0,0.27023815442731974,1.0,0.08333333333333333,40,1,64,20,50,10,1.0,1.0
9,avreylavelle,node2vec,100,0.01,1.0,0.27023815442731974,1.0,0.08333333333333333,40,1,64,20,50,10,1.0,1.0
9,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
9,bossitronio,node2vec,50,0.02,1.0,0.20801459767650948,1.0,0.037037037037037035,41,1,64,20,50,10,1.0,1.0
9,bossitronio,node2vec,100,0.01,1.0,0.20801459767650948,1.0,0.037037037037037035,41,1,64,20,50,10,1.0,1.0
9,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
9,chandler,node2vec,50,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
9,chandler,node2vec,100,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
9,isaacmeyer,node2vec,10,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
9,isaacmeyer,node2vec,50,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
9,isaacmeyer,node2vec,100,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
9,jnance142,node2vec,10,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
9,jnance142,node2vec,50,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
9,jnance142,node2vec,100,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
10,avreylavelle,node2vec,10,0.0,0.0,0.0,0.0,0.0,40,1,64,20,50,10,1.0,1.0
10,avreylavelle,node2vec,50,0.02,1.0,0.24465054211822604,1.0,0.0625,40,1,64,20,50,10,1.0,1.0
