seed,user_id,method,k,precision,recall,ndcg,hitrate,mrr,candidate_size,heldout_count,dimensions,walk_length,num_walks,window,p,q
10,avreylavelle,node2vec,100,0.01,1.0,0.24465054211822604,1.0,0.0625,40,1,64,20,50,10,1.0,1.0
10,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
10,bossitronio,node2vec,50,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
10,bossitronio,node2vec,100,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
10,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
10,chandler,node2vec,50,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
10,chandler,node2vec,100,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
10,isaacmeyer,node2vec,10,0.1,1.0,0.3010299956639812,1.0,0.1111111111111111,24,1,64,20,50,10,1.0,1.0
10,isaacmeyer,node2vec,50,0.02,1.0,0.3010299956639812,1.0,0.1111111111111111,24,1,64,20,50,10,1.0,1.0
10,isaacmeyer,node2vec,100,0.01,1.0,0.3010299956639812,1.0,0.1111111111111111,24,1,64,20,50,10,1.0,1.0
10,jnance142,node2vec,10,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
10,jnance142,node2vec,50,0.02,1.0,0.19823986317056053,1.0,0.03125,56,1,64,20,50,10,1.0,1.0
10,jnance142,node2vec,100,0.01,1.0,0.19823986317056053,1.0,0.03125,56,1,64,20,50,10,1.0,1.0
11,avreylavelle,node2vec,10,0.0,0.0,0.0,0.0,0.0,40,1,64,20,50,10,1.0,1.0
11,avreylavelle,node2vec,50,0.02,1.0,0.20184908658209985,1.0,0.03333333333333333,40,1,64,20,50,10,1.0,1.0
11,avreylavelle,node2vec,100,0.01,1.0,0.20184908658209985,1.0,0.03333333333333333,40,1,64,20,50,10,1.0,1.0
11,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
11,bossitronio,node2vec,50,0.02,1.0,0.2103099178571525,1.0,0.038461538461538464,41,1,64,20,50,10,1.0,1.0
11,bossitronio,node2vec,100,0.01,1.0,0.2103099178571525,1.0,0.038461538461538464,41,1,64,20,50,10,1.0,1.0
11,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
11,chandler,node2vec,50,0.02,1.0,0.2037950470905062,1.0,0.034482758620689655,47,1,64,20,50,10,1.0,1.0
11,chandler,node2vec,100,0.01,1.0,0.2037950470905062,1.0,0.034482758620689655,47,1,64,20,50,10,1.0,1.0
11,isaacmeyer,node2vec,10,0.1,1.0,0.2890648263178879,1.0,0.1,24,1,64,20,50,10,1.0,1.0
11,isaacmeyer,node2vec,50,0.02,1.0,0.2890648263178879,1.0,0.1,24,1,64,20,50,10,1.0,1.0
11,isaacmeyer,node2vec,100,0.01,1.0,0.2890648263178879,1.0,0.1,24,1,64,20,50,10,1.0,1.0
11,jnance142,node2vec,10,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
11,jnance142,node2vec,50,0.02,1.0,0.1965616322328226,1.0,0.030303030303030304,56,1,64,20,50,10,1.0,1.0
11,jnance142,node2vec,100,0.01,1.0,0.1965616322328226,1.0,0.030303030303030304,56,1,64,20,50,10,1.0,1.0
12,avreylavelle,node2vec,10,0.0,0.0,0.0,0.0,0.0,40,1,64,20,50,10,1.0,1.0
12,avreylavelle,node2vec,50,0.02,1.0,0.27894294565112987,1.0,0.09090909090909091,40,1,64,20,50,10,1.0,1.0
12,avreylavelle,node2vec,100,0.01,1.0,0.27894294565112987,1.0,0.09090909090909091,40,1,64,20,50,10,1.0,1.0
12,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
12,bossitronio,node2vec,50,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
12,bossitronio,node2vec,100,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
12,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
12,chandler,node2vec,50,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
12,chandler,node2vec,100,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
12,isaacmeyer,node2vec,10,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
12,isaacmeyer,node2vec,50,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
12,isaacmeyer,node2vec,100,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
12,jnance142,node2vec,10,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
12,jnance142,node2vec,50,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
12,jnance142,node2vec,100,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
13,avreylavelle,node2vec,10,0.0,0.0,0.0,0.0,0.0,40,1,64,20,50,10,1.0,1.0
13,avreylavelle,node2vec,50,0.02,1.0,0.21810429198553155,1.0,0.043478260869565216,40,1,64,20,50,10,1.0,1.0
13,avreylavelle,node2vec,100,0.01,1.0,0.21810429198553155,1.0,0.043478260869565216,40,1,64,20,50,10,1.0,1.0
13,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
13,bossitronio,node2vec,50,0.02,1.0,0.18920035951687003,1.0,0.02631578947368421,41,1,64,20,50,10,1.0,1.0
13,bossitronio,node2vec,100,0.01,1.0,0.18920035951687003,1.0,0.02631578947368421,41,1,64,20,50,10,1.0,1.0
13,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
13,chandler,node2vec,50,0.02,1.0,0.23137821315975915,1.0,0.05263157894736842,47,1,64,20,50,10,1.0,1.0
13,chandler,node2vec,100,0.01,1.0,0.23137821315975915,1.0,0.05263157894736842,47,1,64,20,50,10,1.0,1.0
13,isaacmeyer,node2vec,10,0.1,1.0,0.6309297535714575,1.0,0.5,24,1,64,20,50,10,1.0,1.0
13,isaacmeyer,node2vec,50,0.02,1.0,0.6309297535714575,1.0,0.5,24,1,64,20,50,10,1.0,1.0
13,isaacmeyer,node2vec,100,0.01,1.0,0.6309297535714575,1.0,0.5,24,1,64,20,50,10,1.0,1.0
13,jnance142,node2vec,10,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
13,jnance142,node2vec,50,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
13,jnance142,node2vec,100,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
14,avreylavelle,node2vec,10,0.0,0.0,0.0,0.0,0.0,40,1,64,20,50,10,1.0,1.0
14,avreylavelle,node2vec,50,0.02,1.0,0.21533827903669653,1.0,0.041666666666666664,40,1,64,20,50,10,1.0,1.0
14,avreylavelle,node2vec,100,0.01,1.0,0.21533827903669653,1.0,0.041666666666666664,40,1,64,20,50,10,1.0,1.0
14,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
14,bossitronio,node2vec,50,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
14,bossitronio,node2vec,100,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
14,chandler,node2vec,10,0.1,1.0,0.38685280723454163,1.0,0.2,47,1,64,20,50,10,1.0,1.0
14,chandler,node2vec,50,0.02,1.0,0.38685280723454163,1.0,0.2,47,1,64,20,50,10,1.0,1.0
14,chandler,node2vec,100,0.01,1.0,0.38685280723454163,1.0,0.2,47,1,64,20,50,10,1.0,1.0
14,isaacmeyer,node2vec,10,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
14,isaacmeyer,node2vec,50,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
14,isaacmeyer,node2vec,100,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
14,jnance142,node2vec,10,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
14,jnance142,node2vec,50,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
14,jnance142,node2vec,100,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
15,avreylavelle,node2vec,10,0.0,0.0,0.0,0.0,0.0,40,1,64,20,50,10,1.0,1.0
15,avreylavelle,node2vec,50,0.02,1.0,0.27023815442731974,1.0,0.08333333333333333,40,1,64,20,50,10,1.0,1.0
15,avreylavelle,node2vec,100,0.01,1.0,0.27023815442731974,1.0,0.08333333333333333,40,1,64,20,50,10,1.0,1.0
15,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
15,bossitronio,node2vec,50,0.02,1.0,0.22424382421757544,1.0,0.047619047619047616,41,1,64,20,50,10,1.0,1.0
15,bossitronio,node2vec,100,0.01,1.0,0.22424382421757544,1.0,0.047619047619047616,41,1,64,20,50,10,1.0,1.0
15,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
15,chandler,node2vec,50,0.02,1.0,0.23137821315975915,1.0,0.05263157894736842,47,1,64,20,50,10,1.0,1.0
15,chandler,node2vec,100,0.01,1.0,0.23137821315975915,1.0,0.05263157894736842,47,1,64,20,50,10,1.0,1.0
15,isaacmeyer,node2vec,10,0.1,1.0,0.3010299956639812,1.0,0.1111111111111111,24,1,64,20,50,10,1.0,1.0
15,isaacmeyer,node2vec,50,0.02,1.0,0.3010299956639812,1.0,0.1111111111111111,24,1,64,20,50,10,1.0,1.0
15,isaacmeyer,node2vec,100,0.01,1.0,0.3010299956639812,1.0,0.1111111111111111,24,1,64,20,50,10,1.0,1.0
15,jnance142,node2vec,10,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
15,jnance142,node2vec,50,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
15,jnance142,node2vec,100,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
16,avreylavelle,node2vec,10,0.0,0.0,0.0,0.0,0.0,40,1,64,20,50,10,1.0,1.0
16,avreylavelle,node2vec,50,0.02,1.0,0.2103099178571525,1.0,0.038461538461538464,40,1,64,20,50,10,1.0,1.0
16,avreylavelle,node2vec,100,0.01,1.0,0.2103099178571525,1.0,0.038461538461538464,40,1,64,20,50,10,1.0,1.0
16,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
16,bossitronio,node2vec,50,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
16,bossitronio,node2vec,100,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
16,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
16,chandler,node2vec,50,0.02,1.0,0.1965616322328226,1.0,0.030303030303030304,47,1,64,20,50,10,1.0,1.0
16,chandler,node2vec,100,0.01,1.0,0.1965616322328226,1.0,0.030303030303030304,47,1,64,20,50,10,1.0,1.0
16,isaacmeyer,node2vec,10,0.1,1.0,0.38685280723454163,1.0,0.2,24,1,64,20,50,10,1.0,1.0
16,isaacmeyer,node2vec,50,0.02,1.0,0.38685280723454163,1.0,0.2,24,1,64,20,50,10,1.0,1.0
16,isaacmeyer,node2vec,100,0.01,1.0,0.38685280723454163,1.0,0.2,24,1,64,20,50,10,1.0,1.0
16,jnance142,node2vec,10,0.1,1.0,0.3562071871080222,1.0,0.16666666666666666,56,1,64,20,50,10,1.0,1.0
16,jnance142,node2vec,50,0.02,1.0,0.3562071871080222,1.0,0.16666666666666666,56,1,64,20,50,10,1.0,1.0
16,jnance142,node2vec,100,0.01,1.0,0.3562071871080222,1.0,0.16666666666666666,56,1,64,20,50,10,1.0,1.0
17,avreylavelle,node2vec,10,0.1,1.0,0.43067655807339306,1.0,0.25,40,1,64,20,50,10,1.0,1.0
17,avreylavelle,node2vec,50,0.02,1.0,0.43067655807339306,1.0,0.25,40,1,64,20,50,10,1.0,1.0
17,avreylavelle,node2vec,100,0.01,1.0,0.43067655807339306,1.0,0.25,40,1,64,20,50,10,1.0,1.0
17,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
17,bossitronio,node2vec,50,0.02,1.0,0.1965616322328226,1.0,0.030303030303030304,41,1,64,20,50,10,1.0,1.0
17,bossitronio,node2vec,100,0.01,1.0,0.1965616322328226,1.0,0.030303030303030304,41,1,64,20,50,10,1.0,1.0
17,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
17,chandler,node2vec,50,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
17,chandler,node2vec,100,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
17,isaacmeyer,node2vec,10,0.1,1.0,0.6309297535714575,1.0,0.5,24,1,64,20,50,10,1.0,1.0
17,isaacmeyer,node2vec,50,0.02,1.0,0.6309297535714575,1.0,0.5,24,1,64,20,50,10,1.0,1.0
17,isaacmeyer,node2vec,100,0.01,1.0,0.6309297535714575,1.0,0.5,24,1,64,20,50,10,1.0,1.0
17,jnance142,node2vec,10,0.1,1.0,0.3010299956639812,1.0,0.1111111111111111,56,1,64,20,50,10,1.0,1.0
17,jnance142,node2vec,50,0.02,1.0,0.3010299956639812,1.0,0.1111111111111111,56,1,64,20,50,10,1.0,1.0
17,jnance142,node2vec,100,0.01,1.0,0.3010299956639812,1.0,0.1111111111111111,56,1,64,20,50,10,1.0,1.0
18,avreylavelle,node2vec,10,0.0,0.0,0.0,0.0,0.0,40,1,64,20,50,10,1.0,1.0
18,avreylavelle,node2vec,50,0.02,1.0,0.227670248696953,1.0,0.05,40,1,64,20,50,10,1.0,1.0
18,avreylavelle,node2vec,100,0.01,1.0,0.227670248696953,1.0,0.05,40,1,64,20,50,10,1.0,1.0
18,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
18,bossitronio,node2vec,50,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
18,bossitronio,node2vec,100,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
18,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
18,chandler,node2vec,50,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
18,chandler,node2vec,100,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
18,isaacmeyer,node2vec,10,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
18,isaacmeyer,node2vec,50,0.02,1.0,0.27894294565112987,1.0,0.09090909090909091,24,1,64,20,50,10,1.0,1.0
18,isaacmeyer,node2vec,100,0.01,1.0,0.27894294565112987,1.0,0.09090909090909091,24,1,64,20,50,10,1.0,1.0
18,jnance142,node2vec,10,0.1,1.0,0.5,1.0,0.3333333333333333,56,1,64,20,50,10,1.0,1.0
18,jnance142,node2vec,50,0.02,1.0,0.5,1.0,0.3333333333333333,56,1,64,20,50,10,1.0,1.0
18,jnance142,node2vec,100,0.01,1.0,0.5,1.0,0.3333333333333333,56,1,64,20,50,10,1.0,1.0
19,avreylavelle,node2vec,10,0.1,1.0,0.3333333333333333,1.0,0.14285714285714285,40,1,64,20,50,10,1.0,1.0
19,avreylavelle,node2vec,50,0.02,1.0,0.3333333333333333,1.0,0.14285714285714285,40,1,64,20,50,10,1.0,1.0
19,avreylavelle,node2vec,100,0.01,1.0,0.3333333333333333,1.0,0.14285714285714285,40,1,64,20,50,10,1.0,1.0
19,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
19,bossitronio,node2vec,50,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
19,bossitronio,node2vec,100,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
19,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
19,chandler,node2vec,50,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
19,chandler,node2vec,100,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
19,isaacmeyer,node2vec,10,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
19,isaacmeyer,node2vec,50,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
19,isaacmeyer,node2vec,100,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
19,jnance142,node2vec,10,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
19,jnance142,node2vec,50,0.02,1.0,0.2559580248098155,1.0,0.07142857142857142,56,1,64,20,50,10,1.0,1.0
19,jnance142,node2vec,100,0.01,1.0,0.2559580248098155,1.0,0.07142857142857142,56,1,64,20,50,10,1.0,1.0
